Order ID,Date,Product,Category,Price,Quantity,Total Sales,Customer Name,Customer Location,Payment Method,Status
ORD0045,15-03-25,Refrigerator,Home Appliances,1200.0,3.0,3600.0,Daniel Harris,New York,Credit Card,Pending
ORD0046,06-03-25,Running Shoes,Footwear,60.0,2.0,120.0,David Lee,Houston,Debit Card,Cancelled
ORD0047,26-03-25,T-Shirt,Clothing,20.0,2.0,40.0,Chris White,Miami,Gift Card,Cancelled
ORD0048,11-02-25,T-Shirt,Clothing,20.0,5.0,100.0,Jane Smith,Denver,Amazon Pay,Completed
ORD0049,18-02-25,Smartphone,Electronics,500.0,4.0,2000.0,Emma Clark,Chicago,Debit Card,Completed
ORD0050,14-03-25,Jeans,Clothing,40.0,3.0,120.0,John Doe,Boston,Gift Card,Completed
ORD0051,19-02-25,Book,Books,15.0,1.0,15.0,Emma Clark,Houston,Gift Card,Cancelled
ORD0052,24-02-25,Laptop,Electronics,800.0,3.0,2400.0,John Doe,San Francisco,Credit Card,Pending
ORD0053,24-03-25,Running Shoes,Footwear,60.0,4.0,240.0,Emily Johnson,Los Angeles,PayPal,Completed
ORD0054,15-03-25,Smartwatch,Electronics,150.0,3.0,450.0,David Lee,Boston,Gift Card,Pending
ORD0055,15-03-25,Jeans,Clothing,40.0,2.0,80.0,Sophia Miller,Dallas,PayPal,Completed
ORD0056,19-03-25,Smartwatch,Electronics,150.0,2.0,300.0,Emma Clark,Dallas,Credit Card,Completed
ORD0057,15-03-25,Smartphone,Electronics,500.0,1.0,500.0,Jane Smith,Los Angeles,Debit Card,Cancelled
ORD0058,13-03-25,Smartphone,Electronics,500.0,1.0,500.0,Jane Smith,Chicago,PayPal,Cancelled
ORD0059,01-04-25,Smartwatch,Electronics,150.0,2.0,300.0,Daniel Harris,Dallas,Credit Card,Cancelled
ORD0060,12-03-25,Book,Books,15.0,5.0,75.0,Jane Smith,Dallas,Credit Card,Pending
ORD0061,11-03-25,Refrigerator,Home Appliances,1200.0,1.0,1200.0,Jane Smith,New York,PayPal,Cancelled
ORD0062,10-02-25,Laptop,Electronics,800.0,5.0,4000.0,Olivia Wilson,San Francisco,PayPal,Completed
ORD0063,30-03-25,Smartphone,Electronics,500.0,5.0,2500.0,Emma Clark,Miami,Gift Card,Completed
ORD0064,13-02-25,Refrigerator,Home Appliances,1200.0,4.0,4800.0,Emily Johnson,Denver,PayPal,Pending
ORD0065,16-03-25,Book,Books,15.0,3.0,45.0,Emma Clark,San Francisco,Amazon Pay,Pending
ORD0066,14-03-25,Smartwatch,Electronics,150.0,2.0,300.0,Michael Brown,Denver,PayPal,Pending
ORD0067,31-03-25,Headphones,Electronics,100.0,3.0,300.0,Chris White,New York,Debit Card,Pending
ORD0068,23-02-25,Headphones,Electronics,100.0,1.0,100.0,David Lee,Houston,Debit Card,Cancelled
ORD0069,25-02-25,Refrigerator,Home Appliances,1200.0,4.0,4800.0,David Lee,Boston,Gift Card,Pending
ORD0070,10-03-25,Book,Books,15.0,1.0,15.0,Emily Johnson,Boston,Credit Card,Completed
ORD0071,16-03-25,Smartwatch,Electronics,150.0,5.0,750.0,John Doe,Denver,Credit Card,Pending
ORD0072,07-03-25,Laptop,Electronics,800.0,3.0,2400.0,Daniel Harris,Houston,Credit Card,Pending
ORD0073,20-02-25,Smartphone,Electronics,500.0,5.0,2500.0,Emily Johnson,Miami,Credit Card,Cancelled
ORD0074,25-03-25,Refrigerator,Home Appliances,1200.0,4.0,4800.0,Jane Smith,Dallas,Gift Card,Cancelled
ORD0075,26-02-25,Headphones,Electronics,100.0,2.0,200.0,Daniel Harris,Boston,PayPal,Pending
ORD0076,24-02-25,Washing Machine,Home Appliances,600.0,1.0,600.0,Jane Smith,Dallas,Amazon Pay,Completed
ORD0077,20-03-25,Headphones,Electronics,100.0,2.0,200.0,Daniel Harris,Houston,Credit Card,Completed
ORD0078,18-03-25,Smartwatch,Electronics,150.0,2.0,300.0,Emma Clark,Los Angeles,Gift Card,Cancelled
ORD0079,09-03-25,Running Shoes,Footwear,60.0,2.0,120.0,Emily Johnson,Denver,Gift Card,Cancelled
ORD0080,23-02-25,Running Shoes,Footwear,60.0,4.0,240.0,Sophia Miller,San Francisco,Debit Card,Pending
ORD0081,26-02-25,Headphones,Electronics,100.0,3.0,300.0,Michael Brown,Chicago,PayPal,Cancelled
ORD0082,24-02-25,Smartphone,Electronics,500.0,3.0,1500.0,Jane Smith,Seattle,Debit Card,Cancelled
ORD0083,28-02-25,Washing Machine,Home Appliances,600.0,4.0,2400.0,Emma Clark,Houston,Gift Card,Cancelled
ORD0084,14-02-25,T-Shirt,Clothing,20.0,5.0,100.0,Olivia Wilson,Boston,PayPal,Completed
ORD0085,06-02-25,Smartphone,Electronics,500.0,5.0,2500.0,Michael Brown,Houston,PayPal,Completed
ORD0086,25-02-25,Smartwatch,Electronics,150.0,5.0,750.0,Jane Smith,Dallas,PayPal,Cancelled
ORD0087,13-03-25,Running Shoes,Footwear,60.0,5.0,300.0,Emma Clark,Miami,Debit Card,Completed
ORD0088,06-02-25,Refrigerator,Home Appliances,1200.0,2.0,2400.0,Chris White,Seattle,Debit Card,Pending
ORD0089,26-03-25,Running Shoes,Footwear,60.0,5.0,300.0,Emma Clark,Los Angeles,Credit Card,Cancelled
ORD0090,24-03-25,Smartwatch,Electronics,150.0,5.0,750.0,Emily Johnson,Houston,Amazon Pay,Completed
ORD0091,03-02-25,Laptop,Electronics,800.0,4.0,3200.0,Daniel Harris,Houston,Gift Card,Pending
ORD0092,15-03-25,Smartphone,Electronics,500.0,2.0,1000.0,Olivia Wilson,Boston,PayPal,Cancelled
ORD0093,06-03-25,Refrigerator,Home Appliances,1200.0,5.0,6000.0,David Lee,Denver,PayPal,Cancelled
ORD0094,25-03-25,Jeans,Clothing,40.0,5.0,200.0,Daniel Harris,Seattle,Credit Card,Cancelled
ORD0095,17-02-25,Smartwatch,Electronics,150.0,4.0,600.0,Chris White,New York,Debit Card,Cancelled
ORD0096,30-03-25,Smartwatch,Electronics,150.0,3.0,450.0,Jane Smith,New York,Amazon Pay,Completed
ORD0097,25-03-25,Book,Books,15.0,5.0,75.0,Olivia Wilson,Chicago,Amazon Pay,Pending
ORD0098,14-02-25,Smartwatch,Electronics,150.0,2.0,300.0,Chris White,Miami,PayPal,Pending
ORD0099,18-02-25,Washing Machine,Home Appliances,600.0,5.0,3000.0,Michael Brown,Seattle,Debit Card,Completed
ORD0100,13-02-25,Running Shoes,Footwear,60.0,1.0,60.0,Jane Smith,Houston,Gift Card,Cancelled
ORD0101,20-02-25,Book,Books,15.0,5.0,75.0,John Doe,Denver,PayPal,Pending
ORD0102,28-02-25,Smartphone,Electronics,500.0,2.0,1000.0,David Lee,Boston,PayPal,Pending
ORD0103,14-03-25,T-Shirt,Clothing,20.0,2.0,40.0,Michael Brown,Chicago,PayPal,Pending
ORD0104,22-02-25,Jeans,Clothing,40.0,5.0,200.0,Jane Smith,Dallas,Debit Card,Pending
ORD0105,16-03-25,Jeans,Clothing,40.0,1.0,40.0,Jane Smith,Boston,Debit Card,Pending
ORD0106,15-03-25,T-Shirt,Clothing,20.0,3.0,60.0,Olivia Wilson,Chicago,PayPal,Pending
ORD0107,19-03-25,Jeans,Clothing,40.0,3.0,120.0,Olivia Wilson,Dallas,Credit Card,Cancelled
ORD0108,16-03-25,Headphones,Electronics,100.0,2.0,200.0,Daniel Harris,Miami,PayPal,Pending
ORD0109,17-03-25,Jeans,Clothing,40.0,5.0,200.0,Michael Brown,New York,PayPal,Completed
ORD0110,18-02-25,Smartphone,Electronics,500.0,5.0,2500.0,Olivia Wilson,Dallas,Amazon Pay,Pending
ORD0111,31-03-25,Laptop,Electronics,800.0,4.0,3200.0,Emma Clark,Los Angeles,Credit Card,Completed
ORD0112,06-03-25,Washing Machine,Home Appliances,600.0,2.0,1200.0,David Lee,Dallas,Gift Card,Cancelled
ORD0113,19-03-25,Book,Books,15.0,5.0,75.0,David Lee,San Francisco,Debit Card,Pending
ORD0114,23-02-25,Running Shoes,Footwear,60.0,1.0,60.0,Emma Clark,Houston,Credit Card,Pending
ORD0115,21-03-25,Running Shoes,Footwear,60.0,3.0,180.0,Olivia Wilson,Miami,Amazon Pay,Completed
ORD0116,19-03-25,Laptop,Electronics,800.0,4.0,3200.0,Emma Clark,Los Angeles,Amazon Pay,Completed
ORD0117,27-02-25,T-Shirt,Clothing,20.0,1.0,20.0,Daniel Harris,New York,Credit Card,Completed
ORD0118,10-02-25,Headphones,Electronics,100.0,5.0,500.0,John Doe,Houston,Amazon Pay,Completed
ORD0119,16-03-25,Smartphone,Electronics,500.0,2.0,1000.0,Chris White,Chicago,PayPal,Pending
ORD0120,16-02-25,Laptop,Electronics,800.0,5.0,4000.0,Emily Johnson,Denver,PayPal,Completed
ORD0121,18-02-25,Smartphone,Electronics,500.0,1.0,500.0,John Doe,Dallas,Gift Card,Pending
ORD0122,28-03-25,Laptop,Electronics,800.0,3.0,2400.0,John Doe,Miami,Credit Card,Cancelled
ORD0123,23-02-25,Book,Books,15.0,3.0,45.0,Chris White,Boston,Gift Card,Cancelled
ORD0124,10-02-25,Book,Books,15.0,1.0,15.0,Emma Clark,Seattle,Gift Card,Pending
ORD0125,23-02-25,Smartphone,Electronics,500.0,1.0,500.0,Emily Johnson,Denver,Amazon Pay,Completed
ORD0126,04-02-25,Refrigerator,Home Appliances,1200.0,5.0,6000.0,Olivia Wilson,Chicago,Gift Card,Pending
ORD0127,18-02-25,T-Shirt,Clothing,20.0,3.0,60.0,Emma Clark,Dallas,Debit Card,Completed
ORD0128,23-03-25,Smartwatch,Electronics,150.0,2.0,300.0,Emily Johnson,Dallas,PayPal,Cancelled
ORD0129,26-02-25,Jeans,Clothing,40.0,5.0,200.0,Emily Johnson,New York,Debit Card,Pending
ORD0130,10-02-25,Smartwatch,Electronics,150.0,5.0,750.0,David Lee,Boston,PayPal,Completed
ORD0131,26-02-25,Jeans,Clothing,40.0,2.0,80.0,Daniel Harris,Chicago,Credit Card,Pending
ORD0132,07-03-25,Smartphone,Electronics,500.0,2.0,1000.0,Olivia Wilson,Chicago,Debit Card,Pending
ORD0133,23-02-25,Laptop,Electronics,800.0,1.0,800.0,Emily Johnson,New York,Amazon Pay,Pending
ORD0134,07-02-25,Smartphone,Electronics,500.0,5.0,2500.0,David Lee,Chicago,Gift Card,Pending
ORD0135,10-02-25,T-Shirt,Clothing,20.0,1.0,20.0,Olivia Wilson,Miami,Credit Card,Pending
ORD0136,11-02-25,Refrigerator,Home Appliances,1200.0,2.0,2400.0,Daniel Harris,San Francisco,PayPal,Cancelled
ORD0137,20-03-25,Smartwatch,Electronics,150.0,3.0,450.0,Sophia Miller,San Francisco,Debit Card,Completed
ORD0138,11-02-25,Smartwatch,Electronics,150.0,5.0,750.0,John Doe,Los Angeles,Credit Card,Cancelled
ORD0139,18-03-25,Laptop,Electronics,800.0,2.0,1600.0,Michael Brown,Denver,PayPal,Cancelled
ORD0140,19-03-25,Smartwatch,Electronics,150.0,2.0,300.0,Olivia Wilson,Miami,Debit Card,Completed
ORD0141,21-03-25,Smartphone,Electronics,500.0,2.0,1000.0,John Doe,Miami,PayPal,Completed
ORD0142,15-03-25,Smartphone,Electronics,500.0,3.0,1500.0,Sophia Miller,Miami,Gift Card,Completed
ORD0143,31-03-25,Refrigerator,Home Appliances,1200.0,2.0,2400.0,Jane Smith,Dallas,PayPal,Cancelled
ORD0144,27-02-25,Jeans,Clothing,40.0,2.0,80.0,Michael Brown,Los Angeles,Gift Card,Cancelled
ORD0145,08-03-25,Smartwatch,Electronics,150.0,2.0,300.0,Michael Brown,Seattle,Debit Card,Cancelled
ORD0146,25-03-25,Smartwatch,Electronics,150.0,2.0,300.0,Emma Clark,Boston,Debit Card,Completed
ORD0147,05-02-25,Running Shoes,Footwear,60.0,5.0,300.0,Jane Smith,Dallas,PayPal,Pending
ORD0148,06-02-25,Headphones,Electronics,100.0,4.0,400.0,Emily Johnson,Los Angeles,Amazon Pay,Cancelled
ORD0149,20-03-25,Running Shoes,Footwear,60.0,3.0,180.0,Michael Brown,New York,Gift Card,Pending
ORD0150,08-02-25,Book,Books,15.0,4.0,60.0,Daniel Harris,Chicago,Gift Card,Cancelled
ORD0151,29-03-25,Washing Machine,Home Appliances,600.0,4.0,2400.0,Jane Smith,Los Angeles,Amazon Pay,Pending
ORD0152,28-02-25,Smartwatch,Electronics,150.0,1.0,150.0,John Doe,Seattle,Gift Card,Completed
ORD0153,23-02-25,Smartwatch,Electronics,150.0,5.0,750.0,Sophia Miller,San Francisco,PayPal,Pending
ORD0154,01-03-25,Headphones,Electronics,100.0,2.0,200.0,John Doe,Denver,Debit Card,Completed
ORD0155,05-02-25,Refrigerator,Home Appliances,1200.0,4.0,4800.0,Sophia Miller,Seattle,Credit Card,Pending
ORD0156,16-03-25,Smartwatch,Electronics,150.0,4.0,600.0,Olivia Wilson,Miami,PayPal,Cancelled
ORD0157,08-02-25,Smartphone,Electronics,500.0,3.0,1500.0,Sophia Miller,Denver,Credit Card,Pending
ORD0158,24-02-25,Laptop,Electronics,800.0,3.0,2400.0,Chris White,Miami,Debit Card,Pending
ORD0159,16-02-25,T-Shirt,Clothing,20.0,2.0,40.0,David Lee,Dallas,Gift Card,Cancelled
ORD0160,06-02-25,Washing Machine,Home Appliances,600.0,3.0,1800.0,Olivia Wilson,Denver,Gift Card,Cancelled
ORD0161,22-02-25,Headphones,Electronics,100.0,1.0,100.0,Emily Johnson,Los Angeles,Credit Card,Completed
ORD0162,09-02-25,Smartphone,Electronics,500.0,2.0,1000.0,Olivia Wilson,Chicago,Credit Card,Completed
ORD0163,20-02-25,Running Shoes,Footwear,60.0,2.0,120.0,Chris White,Houston,PayPal,Completed
ORD0164,25-02-25,Smartwatch,Electronics,150.0,5.0,750.0,Michael Brown,Boston,Debit Card,Pending
ORD0165,14-03-25,Book,Books,15.0,1.0,15.0,David Lee,New York,Amazon Pay,Pending
ORD0166,30-03-25,Washing Machine,Home Appliances,600.0,4.0,2400.0,Chris White,Houston,Credit Card,Pending
ORD0167,20-03-25,Refrigerator,Home Appliances,1200.0,2.0,2400.0,Olivia Wilson,Seattle,Credit Card,Completed
ORD0168,24-03-25,Laptop,Electronics,800.0,5.0,4000.0,Michael Brown,Miami,Debit Card,Pending
ORD0169,06-03-25,Refrigerator,Home Appliances,1200.0,2.0,2400.0,John Doe,Denver,PayPal,Completed
ORD0170,28-02-25,Laptop,Electronics,800.0,1.0,800.0,Emma Clark,San Francisco,Gift Card,Pending
ORD0171,28-02-25,Smartwatch,Electronics,150.0,2.0,300.0,Daniel Harris,Houston,PayPal,Completed
ORD0172,12-03-25,Book,Books,15.0,1.0,15.0,David Lee,Miami,Debit Card,Cancelled
ORD0173,28-02-25,Refrigerator,Home Appliances,1200.0,1.0,1200.0,Olivia Wilson,Seattle,PayPal,Completed
ORD0174,13-03-25,Smartwatch,Electronics,150.0,2.0,300.0,David Lee,Chicago,Debit Card,Pending
ORD0175,24-03-25,Jeans,Clothing,40.0,5.0,200.0,David Lee,New York,Debit Card,Cancelled
ORD0176,27-03-25,Book,Books,15.0,1.0,15.0,Michael Brown,Boston,Amazon Pay,Completed
ORD0177,14-03-25,Book,Books,15.0,5.0,75.0,David Lee,San Francisco,Credit Card,Pending
ORD0178,06-02-25,Smartphone,Electronics,500.0,3.0,1500.0,Emily Johnson,Chicago,PayPal,Completed
ORD0179,25-03-25,Jeans,Clothing,40.0,1.0,40.0,Olivia Wilson,Seattle,PayPal,Cancelled
ORD0180,04-03-25,Refrigerator,Home Appliances,1200.0,3.0,3600.0,David Lee,Boston,Gift Card,Completed
ORD0181,03-03-25,Running Shoes,Footwear,60.0,2.0,120.0,David Lee,Los Angeles,Debit Card,Cancelled
ORD0182,02-04-25,T-Shirt,Clothing,20.0,5.0,100.0,Emma Clark,Denver,PayPal,Completed
ORD0183,25-03-25,Washing Machine,Home Appliances,600.0,1.0,600.0,Emma Clark,Seattle,Debit Card,Pending
ORD0184,17-02-25,Book,Books,15.0,5.0,75.0,Daniel Harris,Miami,Debit Card,Pending
ORD0185,22-03-25,T-Shirt,Clothing,20.0,1.0,20.0,Chris White,Dallas,Debit Card,Completed
ORD0186,02-03-25,Washing Machine,Home Appliances,600.0,4.0,2400.0,Michael Brown,New York,PayPal,Completed
ORD0187,13-03-25,Laptop,Electronics,800.0,3.0,2400.0,John Doe,New York,PayPal,Pending
ORD0188,14-02-25,Book,Books,15.0,1.0,15.0,John Doe,Boston,Amazon Pay,Completed
ORD0189,10-02-25,Laptop,Electronics,800.0,3.0,2400.0,Jane Smith,Houston,Amazon Pay,Completed
ORD0190,23-02-25,Running Shoes,Footwear,60.0,1.0,60.0,Sophia Miller,Houston,PayPal,Completed
ORD0191,28-02-25,Jeans,Clothing,40.0,4.0,160.0,John Doe,Seattle,Amazon Pay,Pending
ORD0192,31-03-25,Headphones,Electronics,100.0,3.0,300.0,Sophia Miller,Dallas,Gift Card,Pending
ORD0193,30-03-25,Book,Books,15.0,5.0,75.0,David Lee,Chicago,Amazon Pay,Pending
ORD0194,20-02-25,Jeans,Clothing,40.0,4.0,160.0,John Doe,San Francisco,Debit Card,Cancelled
ORD0195,10-03-25,Smartphone,Electronics,500.0,3.0,1500.0,Olivia Wilson,Denver,Gift Card,Cancelled
ORD0196,04-03-25,Headphones,Electronics,100.0,5.0,500.0,Daniel Harris,Seattle,Debit Card,Pending
ORD0197,12-03-25,Running Shoes,Footwear,60.0,2.0,120.0,Michael Brown,Denver,Gift Card,Completed
ORD0198,20-02-25,Laptop,Electronics,800.0,4.0,3200.0,Jane Smith,Seattle,Amazon Pay,Pending
ORD0199,22-02-25,Smartphone,Electronics,500.0,3.0,1500.0,Chris White,Dallas,Credit Card,Completed
ORD0200,10-02-25,Book,Books,15.0,2.0,30.0,Chris White,Los Angeles,Debit Card,Completed
ORD0201,03-02-25,Book,Books,15.0,4.0,60.0,Michael Brown,San Francisco,Credit Card,Completed
ORD0202,21-02-25,Smartphone,Electronics,500.0,2.0,1000.0,Daniel Harris,Miami,Credit Card,Cancelled
ORD0203,21-02-25,Refrigerator,Home Appliances,1200.0,3.0,3600.0,John Doe,Dallas,Debit Card,Completed
ORD0204,08-03-25,Running Shoes,Footwear,60.0,5.0,300.0,Jane Smith,Miami,Gift Card,Pending
ORD0205,27-02-25,Headphones,Electronics,100.0,2.0,200.0,David Lee,Houston,PayPal,Completed
ORD0206,12-02-25,Washing Machine,Home Appliances,600.0,5.0,3000.0,Emma Clark,Miami,Amazon Pay,Pending
ORD0207,21-03-25,Washing Machine,Home Appliances,600.0,1.0,600.0,John Doe,Miami,Credit Card,Completed
ORD0208,02-02-25,Refrigerator,Home Appliances,1200.0,3.0,3600.0,John Doe,Miami,PayPal,Completed
ORD0209,29-03-25,Jeans,Clothing,40.0,5.0,200.0,Daniel Harris,Dallas,PayPal,Completed
ORD0210,23-03-25,Laptop,Electronics,800.0,3.0,2400.0,Jane Smith,New York,PayPal,Completed
ORD0211,13-03-25,Smartphone,Electronics,500.0,1.0,500.0,David Lee,Miami,Gift Card,Pending
ORD0212,09-03-25,T-Shirt,Clothing,20.0,4.0,80.0,Emma Clark,Houston,Debit Card,Completed
ORD0213,06-02-25,Laptop,Electronics,800.0,1.0,800.0,Jane Smith,Los Angeles,Amazon Pay,Cancelled
ORD0214,18-02-25,Smartwatch,Electronics,150.0,5.0,750.0,Emily Johnson,Houston,Debit Card,Completed
ORD0215,07-03-25,Running Shoes,Footwear,60.0,1.0,60.0,Emma Clark,Houston,PayPal,Completed
ORD0216,26-03-25,Jeans,Clothing,40.0,2.0,80.0,Chris White,Chicago,Credit Card,Completed
ORD0217,19-03-25,Running Shoes,Footwear,60.0,2.0,120.0,Emma Clark,Boston,Gift Card,Pending
ORD0218,15-02-25,Headphones,Electronics,100.0,4.0,400.0,Daniel Harris,New York,Gift Card,Cancelled
ORD0219,17-02-25,Headphones,Electronics,100.0,3.0,300.0,David Lee,Houston,PayPal,Cancelled
ORD0220,10-02-25,Smartwatch,Electronics,150.0,3.0,450.0,Michael Brown,Denver,Debit Card,Completed
ORD0221,28-02-25,Washing Machine,Home Appliances,600.0,2.0,1200.0,Emily Johnson,Chicago,Gift Card,Cancelled
ORD0222,16-02-25,Washing Machine,Home Appliances,600.0,2.0,1200.0,Chris White,Seattle,PayPal,Cancelled
ORD0223,24-03-25,Jeans,Clothing,40.0,2.0,80.0,David Lee,Denver,Amazon Pay,Cancelled
ORD0224,18-03-25,Refrigerator,Home Appliances,1200.0,1.0,1200.0,Jane Smith,Miami,PayPal,Completed
ORD0225,11-03-25,Jeans,Clothing,40.0,1.0,40.0,Sophia Miller,New York,Gift Card,Cancelled
ORD0226,05-03-25,Running Shoes,Footwear,60.0,4.0,240.0,Chris White,Chicago,Amazon Pay,Completed
ORD0227,02-04-25,Headphones,Electronics,100.0,5.0,500.0,Emma Clark,Miami,Amazon Pay,Cancelled
ORD0228,12-02-25,Running Shoes,Footwear,60.0,1.0,60.0,David Lee,San Francisco,Credit Card,Pending
ORD0229,21-03-25,Running Shoes,Footwear,60.0,3.0,180.0,Emma Clark,San Francisco,Credit Card,Pending
ORD0230,31-03-25,Headphones,Electronics,100.0,4.0,400.0,Jane Smith,San Francisco,Amazon Pay,Pending
ORD0231,16-02-25,Laptop,Electronics,800.0,5.0,4000.0,Jane Smith,Boston,Credit Card,Cancelled
ORD0232,14-03-25,Refrigerator,Home Appliances,1200.0,3.0,3600.0,Emma Clark,Los Angeles,Credit Card,Completed
ORD0233,20-02-25,Running Shoes,Footwear,60.0,1.0,60.0,David Lee,Boston,PayPal,Cancelled
ORD0234,08-03-25,Book,Books,15.0,1.0,15.0,Jane Smith,Miami,Amazon Pay,Cancelled
ORD0235,23-03-25,Refrigerator,Home Appliances,1200.0,1.0,1200.0,Daniel Harris,Dallas,PayPal,Completed
ORD0236,05-03-25,Smartphone,Electronics,500.0,5.0,2500.0,John Doe,Boston,PayPal,Completed
ORD0237,11-02-25,Headphones,Electronics,100.0,3.0,300.0,Michael Brown,Houston,Debit Card,Cancelled
ORD0238,16-03-25,Headphones,Electronics,100.0,1.0,100.0,Olivia Wilson,Denver,PayPal,Completed
ORD0239,22-03-25,Smartwatch,Electronics,150.0,5.0,750.0,Daniel Harris,Houston,Amazon Pay,Completed
ORD0240,09-02-25,Smartwatch,Electronics,150.0,1.0,150.0,John Doe,Denver,Gift Card,Pending
ORD0241,30-03-25,Smartphone,Electronics,500.0,4.0,2000.0,Olivia Wilson,New York,Credit Card,Pending
